Komentar,Bintang,Tanggal
BMKG sdh mulai tdk akurat. daerah jakarta barat panas cerah dibilang hujan ringan. tolong diprediksi lebih akurat. masa kalah dgn aplikasi lain. yg akurat.,4,2025-08-19 11:28:35
untuk aplikasi bmkg bagus cuman saran tambahin widget dong,4,2025-08-19 08:33:09
udh 2hari radarnya gak muncul citra ujannya anjir cma muncul peta doang 😑,1,2025-08-19 00:31:19
"selalu update,, 👍",5,2025-08-18 22:15:03
"Akurat, cukup lengkap, dan simple, hanya saja sangat disayangkan tidak ada widgetnya",4,2025-08-18 20:50:54
Bintang 5 (⭐⭐⭐⭐⭐),5,2025-08-18 18:28:58
"lokaskmya stuck di gunung sahari selatan terus,berkali kali atur lokasi,bahkan diketik,tetap lokasi awal lagi, ga akuratlah sama daerah gempanya,saya di padang,kenapa lokasi di jakarta terus",1,2025-08-18 00:30:45
Setiap masuk. Selalu saja update lokasi.,4,2025-08-18 00:29:52
ini kenapa lokasinya gunung sahari terus deh? kapan update buat perbaikannya min? soalnya mau cek cuaca dan info gempa jadinya susah,2,2025-08-18 00:17:11
mantap,5,2025-08-17 06:35:02
"mantap ,ok.",5,2025-08-17 06:32:07
terimakasih,5,2025-08-17 05:47:09
lumayan lah,4,2025-08-14 03:29:22
"Setelah saya update ke versi 3.4.6 malah aplikasi eror tidak dapat dibuka, mohon diperbaiki updatenya & ditunggu update selanjutnya 🙏",1,2025-08-13 23:53:52
masa cuaca di Pangandaran Jawa Barat hujan di peta maps tidak hujan aneh coba di perbarui lagi kondisi terkini,1,2025-08-13 22:34:38
"BMKG ga jelas, memprediksi ga akurat , kinerja nya jelek, dimana dimana BMKG bisa cari cara untuk cuacanya gimana supaya ga hujan terus",1,2025-08-11 18:57:50
munculnya bunyi dia dong,3,2025-08-06 14:55:23
"tolong buatkan suara notifikasi apknya, supaya orang langsung tahu notif gempa secara real-time!!!",5,2025-08-06 05:14:17
Sebenarnya Aplikasi ini sangat bagus dan akurat tapi kelemahan nya ada 2; 1. saat masuk harus masukkan lokasi lagi 2. gak ada widget nya seperti aplikasi cuaca yang lain,5,2025-08-04 07:14:14
assalamualaikum min tolong membaik gak bisa melihat gambar tolong buka gambar error,1,2025-08-02 14:33:13
"aku baru install tp kenapa tidak bisa di buka? dulu pernah install tp layarnya hitam semua,tidak bisa di akses....",2,2025-08-02 09:40:04
baik,5,2025-08-01 05:47:40
kurang akurat,4,2025-08-01 02:45:23
"maaf aplikasinya tidak akurat, padahal gps sudah aktif tapi tidak bisa mendeteksi lokasi dengan tepat",1,2025-07-31 10:32:43
"gk jelas, lokasi di lock gunung sahari. bukan lokasi asliku",1,2025-07-31 06:11:41
"min tolong perbaiki lokasinya, saya udah setting ke gps tetep aj lokasinya di Gunung Sahari Selatan",4,2025-07-30 23:24:32
Sangat membantu dan bermanfaat,5,2025-07-30 19:49:02
karna pengen liat situasi trusunami,4,2025-07-30 18:53:14
"Aplikasi bermanfaat, terima kasih BMKG",5,2025-07-30 17:36:39
"aplikasi sdh bagus tp sayangnya ga realtime, gempa terjadi jam 14 tp infonya baru muncul jam 16",3,2025-07-30 16:10:46
"saat aplikasi dibuka, layar hp saya malah hitam.... tidak menampilkan apa apa",1,2025-07-30 14:47:16
bagus,5,2025-07-30 11:27:07
lumayan bsa tau smua keadaan sekitar kita,5,2025-07-30 08:59:33
dapat info peringatan dini tsunami jam 08.24 sedangkan kejadian gempa jam 06.24 buset 2 jam baru datang infonya,1,2025-07-30 08:31:32
gaknbisa di bukak di aku,1,2025-07-30 08:22:38
info selalu up to date,5,2025-07-29 19:08:34
kok GK bisa di buka aplikasi nya,5,2025-07-28 17:23:28
saya kasi bintang 4,4,2025-07-26 17:14:13
"di daerah sayatelah terjadi gempa,tapi info dari BMKG sangat lambat,sudah 30 menit berlalu dariterjadi gempa,masih belum ada info dari BMKG,sangat mengecewakan,bagaimana jika terjadi gempa lebih dasyat dan tsunami,aplikasi BMKG ini telat menyampaikan peringatan gempa,sangat tidak bermanfaat,percuma di download,kalau info peringatan dari aplikasi BMKG ini telat,orang orang sudah terkena musibah duluan,baru ada info gempa,sangat mengecewakan.",1,2025-07-26 16:03:58
membantu mengetahui cuaca,5,2025-07-25 19:46:31
mantap,5,2025-07-25 12:18:39
"aplikasi gk akurat, katanya cerah, tapi faktanya hujan tu",1,2025-07-25 05:18:21
"untuk aplikasi ini udah bagus tapi sayangnya untuk notifikasi gempa sangat lambat, sudah selesai gempa perlu waktu beberapa menit baru muncul mohon Untuk sistem diperbarui dengan baik",2,2025-07-24 20:20:02
baik,3,2025-07-24 03:55:56
Aplikasi Early Warning terbaik👌👌,5,2025-07-23 14:39:36
bagus,5,2025-07-21 15:23:03
bad,1,2025-07-20 11:59:09
ok,5,2025-07-20 09:55:01
Apakah tidak bisa dijadikan widget?,5,2025-07-18 06:40:33
app bagus cuma tampilan ke jadul BNR buat lebih hd lagi kak,3,2025-07-16 20:26:18
bagus lah,4,2025-07-16 12:59:42
Terima kasih BMKG sudah disediakan informasi kwalitas udara .,5,2025-07-16 09:33:45
tolong lebih di tingkatkan lagi ke akuratan nya dalam meprediksi hujan,4,2025-07-15 22:06:22
aplikasi ini sangat membantu kami terhadap informasi cuaca dan kejadian kejadian alam terkini terimakasih,5,2025-07-15 16:57:51
"setelah diupdate apknya tidak bisa dibuka, hanya layar gelap",1,2025-07-15 16:00:19
Ok,4,2025-07-15 15:46:50
tolong update aplikasi BMKG layarnya error,1,2025-07-15 01:37:56
tidak akurat,5,2025-07-14 16:18:55
"setelah update tidak bisa keluar aplikasi,harus tekan home dulu..mohon diperbaiki",4,2025-07-14 13:22:23
sangat membantu,4,2025-07-13 20:30:21
Hmm gitulah...,4,2025-07-13 13:14:10
Bagus,4,2025-07-12 08:12:54
"bagus kok, cman kalo sinyal ga bener""stabil agak susah ceknya.",3,2025-07-11 20:34:13
dapat informasi tapi aplikasinya susah dibuka untuk melihat detail infonya,2,2025-07-11 06:00:31
"aplikasinya dibukanya susah dan sangat lambat, juga informasi notifnya sangat lambat bahkan info yg sama bisa berkali kali",4,2025-07-11 05:52:37
Good.,5,2025-07-10 23:12:09
Aplikasinya sangat bagus dan akurat.,5,2025-07-09 20:30:46
OK,5,2025-07-09 07:13:39
salah ngasih info,1,2025-07-08 17:38:21
"perkiraan cuaca nya sering gak akurat, apalagi saya sering menemukan tampilan cuaca saat ini sangat beda dengan semestinya, yang tertera di bmkg hujan ringan dengan suhu 29⁰ sedang kan kondisi terkini yang benar adalah cerah dengan suhu 32⁰. padahal saya sudah memasukan posisi kota yang benar 🗿🗿🗿",3,2025-07-08 13:21:25
kok g bisa buka bmkg nya,5,2025-07-07 13:24:46
aplikasinya lelet,1,2025-07-07 08:38:00
"aplikasi yang sangat tidak akurat, hapus saja aplikasi ini, sangat menipu",1,2025-07-06 07:35:46
"Aplikasi nya sangat bagus, Semoga kedepannya lebih canggih dan lebih sangat membantu orang banyak untuk semua informasi nya, dan sukses selalu BMKG",5,2025-07-06 05:17:19
👍👍👍,5,2025-07-05 20:18:25
sangat bagus,5,2025-07-04 16:07:37
kenapa di buka nge blank sih,2,2025-07-03 14:12:12
sangat membantu sekali.,5,2025-07-03 08:17:41
"Aplikasi sampah, semenjak diupdate yang muncul daerah Gunung Sahari Selatan terus, sudah nyalakan GPS juga masih tetap aja sama, masa iya saya setiap kali mau lihat prakiraan cuaca di tempat saya tinggal harus pilih wilayah dahulu secara manual, saya berikan masukan sudah lebih dari satu bulan lalu, tapi tidak ada respon dari pihak pengembang, terus kerja kalian apa, kalian digaji Pemerintah, uang dari pajak rakyat, masa ngurus aplikasi begini aja kalian gak bisa?",1,2025-07-03 06:56:15
"Jujur apknya masi jelek contohnya seperti peringatan gempa yang masi lambat, walaupun daerahnya ga gempa tapi tetap dapet notifikasi, peringatan cuaca ekstrim yang kadang muncul kadang tidak padahal kondisi hujan deras. Pake cell broadcast system aja gausa pake apk segala. Kek jaman bahulak aja masi pake apk, negara lain contohnya tetangga kita Thailand aja udah pake Cell Broadcast System bukan aplikasi.",2,2025-07-02 20:21:44
"Tolong diperbaiki lagi perihal lokasi GPS-nya, lokasi tidak akurat.",4,2025-07-02 15:48:59
mohon tambahkan widget cuaca agar memudahkan untuk lihat info terkini daripada harus buka tutup aplikasi,3,2025-07-01 16:41:37
Ok,5,2025-07-01 16:30:45
ok,5,2025-07-01 07:35:57
"Lokasinya ga akurat, harus ganti lokasi manual buat cek laporan cuaca",3,2025-07-01 01:24:26
"hanya bisa memprediksi, dan memberitahukan kalau sudah kejadian gempa. anak kecil di lokasi gempa juga bisa menyampaikan gempa baru saja terjadi dan dia rasakan. INSTANSI PALING TIDAK BERGUNA. sia sia pajak yg di bayar untuk mereka yang bekerja hanya SPRTI itu. tidak ada Guna nya",1,2025-06-30 23:31:15
biasa,3,2025-06-30 17:13:22
sangat akurat,5,2025-06-29 18:47:16
"sorry to say saya harus mengatakan aplikasi nya nggak akurat untuk bagian prakiraan cuaca. peringatan dini di kabupaten bogor bukan nya masuk ke peta peringatan dini Jabodetabek malah dimasukan ke peringatan Dini Jawa barat, sedangkan di peta peringatan dini jawa barat tidak memasukan peta Bogor depok dan bekasi. Begitu pula saat memasukan lokasi di kabupaten Bekasi tidak memasukan Peta ke dalam Peringatan Dini Jabodetabek akan tetapi malah masuk peringatan Dini Jawa Barat.",1,2025-06-29 12:42:47
tidak akurat sama sekali,1,2025-06-28 18:45:49
👍tepat,5,2025-06-27 18:50:43
hebat,5,2025-06-27 17:15:28
akurasinya bagus,5,2025-06-27 01:39:30
sangat cocok,5,2025-06-26 20:46:45
"bisa membantu cuaca di laut,,jadi saya bisa mengetahui cuaca laut",5,2025-06-26 19:29:05
"Aplikasi BMKG ini sangat membantu, terimakasih",5,2025-06-26 14:09:31
sangat baik,5,2025-06-25 14:25:55
josss mantap,5,2025-06-24 08:37:00
"tidak akurat sama sekali 😕 aplikasi seperti ini harusnya sangat berguna bagi para petani. yang harusnya kami gunakan untuk memantau cuaca selama seharian full untuk menjemur hasil tani malah tidak berfungsi kami lihat di aplikasi cerah, kami segera menjemur hasil tani kami tapi kenyataannya hujan turun dengan deras dan tidak sempat mengangkat hasil tani kami dengan cepat",1,2025-06-23 07:48:19
"kurang update real time nya, ada gempa sekitar 10 menit baru update di app nya",3,2025-06-21 13:00:00
"cuaca di bmkg dengan realitanya berbanding terbalik, di bmkg hujan , aslinya cerah cuacanya, haduh parah",1,2025-06-20 14:35:56
untuk lokasinya kenapa ga bisa diganti ya.. selalu Gunung sahari selatan 🥲,2,2025-06-19 04:24:50
sangat bermanfaat,5,2025-06-18 19:39:14
"telat mulu ngasih info nyaa,!!",3,2025-06-18 15:31:13
lebih bagus kalo ada widget,4,2025-06-18 15:19:55
"untuk pemakaian di pulau sumatra setelah pembaruan lokasi tidak akurat, tidak otomatis, perkiraan cuaca juga tidak akurat",5,2025-06-18 06:26:21
mantap,5,2025-06-18 06:18:29
sangat bermanfaat,5,2025-06-17 18:15:01
"udah dri dlu aku pke aplikasi ini, tp kenapa sekrang tiba2 ngga bisa ke buka ya",4,2025-06-17 06:56:33
sudah tahun 2025 masih saja belum menyediakan widget !,2,2025-06-16 22:00:19
Cuacanya gak bisa tepat waktu & akurat,3,2025-06-16 21:34:14
Mantap,5,2025-06-16 14:30:06
"Walaupun gps sudah aktif, lokasinya tetap Gunung Sahari",3,2025-06-16 11:39:21
"tidak bisa pasang lokasi, terkunci di Jakarta",1,2025-06-16 05:19:26
"untuk data yg diberikan sudah lumayan komplit, tapi aplikasi ini sering gangguan. Mohon untuk tim developer BMKG untuk dikembangkan lagi aplikasinya.",3,2025-06-15 20:14:40
ko ga bisa masuk,2,2025-06-15 14:36:52
"Sangat membantu dan akurat. hanya saja sesudah update yg terakhir kali, aplikasinya error. sering tertutup saat baru saja dibuka. Mohon bantuannya",5,2025-06-15 11:31:30
bagus,5,2025-06-14 17:07:35
Amazing,5,2025-06-14 13:02:43
gk prnh akurat sma akli🤣😅😂,1,2025-06-14 06:38:58
sangat membantu,5,2025-06-13 19:40:37
"Apknya bguss sklii,,akurat sklii untuk wilayah seluruh Indonesia☁️",5,2025-06-13 13:44:06
versi Update malah error,2,2025-06-13 09:13:28
sangat bermanfaat,5,2025-06-12 16:54:37
"diupdate apkikasinya malah tambah kacau. semua harus manual, tidak terdeteksi lokasi secara otomatis. ribet amat. Diupdate bukannya lbh baik malah lbh hancur. MAU LIHAT CUACA MARITIM TIDAK BISA PILIH LOKASI!!!!! MASA OTOMATIS GUNUNG SAHARI?????? DIUPDATE HARUSNYA LEBIH BAIK, INI MALAH JELEEEEKKKKKKKK!!!!!!",1,2025-06-12 16:31:52
ok,5,2025-06-11 11:41:57
baik,5,2025-06-11 05:23:28
"ini ngape layar nya blank(item) gini semenjak apdet, ki pie we deng",5,2025-06-10 20:39:58
semoga bermanfaat.,5,2025-06-09 22:31:01
"tolong kakak aplikasinya ngebug,saat scroll kliatan patah patah angka metrik atau coding setelah pembaharuan kemarin",1,2025-06-08 19:00:42
bagus sangat membantu tapi masih ada kekurangan ya itu radar cuaca dan citra satelit masih ada bug eror kadang mohon di perbaiki,3,2025-06-08 11:34:08
"kocak kaga ada Widget. notifikasi ribet banget, puanjang banget risih banget lihat nya",3,2025-06-08 06:13:30
"Setelah upgrade skarang jadi APK gagal, sekelas pentium 1 sangat lelet, susah masuknya..Gak berfungsi blas..",1,2025-06-07 04:05:46
"Aplikasi bagus dan bisa membantu inf ttg kejadian gempa di sekitar kita ,",5,2025-06-06 18:27:31
kurang tepat dan kurang akurat untuk berita cuaca nya,3,2025-06-06 15:07:19
"kalau yg ini saya percaya cuacanya semuanya yg ada di bmkg sudah lengkap, normal,dan bagus gambarnya dan saya akan kasih bintangnya 5 saja dan terima kasih atas bantuannya ya",5,2025-06-03 16:27:17
"Kenapa aplikasi pemerintah lainnya tidak meniru aplikasi ini, mudah, ringan dan informatif. Lainnya mau aplikasi bumn dan pemerintah seringnya kebalikannya",4,2025-06-02 09:54:18
"aplikasinya bagus, tapi saat ganti lokasi sesuai pilihan koq jadi ke lokasi gunung sahari terus?. tolong di perbaiki aplikasinya🙏",4,2025-06-02 05:38:51
Bagus. cukup membantu liat cuaca saat ini memperkirakan yang akan datang.,4,2025-06-01 23:18:04
Bagus,5,2025-06-01 09:09:39
"sangat membantu utk mengetahui Info kebencana,khususnya kami ada di atas sesar gempa utk mengetahui info gempa.....",5,2025-06-01 07:34:41
"Halo Mimin. Ini mau sampai kapan ya lokasinya terdeteksi di Gunung Sahari Selatan? Mohon bisa diperbaiki ya sistemnya. Sy sudah coba berkali-kali untuk menyesuaikan dgn lokasi sebenarnya, sudah menggunakan GPS juga, dan tetap sj yg muncul Gunung Sahari Selatan. Dan satu lagi, informasi gempa juga terkesan lambat ter-update nya. Masa harus menunggu hampir 1 jam? Mohon kedepannya bisa lebih ditingkatkan kembali kualitas aplikasinya. Terima kasih.",2,2025-05-31 21:58:37
Jos,5,2025-05-31 18:32:29
sangat akurat,5,2025-05-31 12:53:15
kenapa pada saat buka aplikasinya kadang2 error ya?? layar blank,3,2025-05-29 17:32:26
baik,5,2025-05-29 12:58:02
"Ini aplikasi benar benar akurat. Bisa menyampaikan terjadinya gempa didaerah mana dengan detail, menyampaikan tentang cuaca yang menurutku 90 - 95% akurat. Tidak salah saya menginstal aplikasi ini. Saya kasih Bintang 5 !!!",5,2025-05-28 20:19:04
baik skl,4,2025-05-28 14:22:45
bagus dan up date,5,2025-05-28 14:02:50
"Tombol kembali/keluar tidak berfungsi, Tolong segera diperbaiki",2,2025-05-27 00:05:03
"sejak di update malah gak akurat,cuaca cerah malah di bilang mendung, hari hujan malah cerah berawan",1,2025-05-26 19:42:11
sangat bagus,5,2025-05-26 09:56:59
membantu mengetahui keadaan cuaca,5,2025-05-25 14:32:44
Good,5,2025-05-25 11:23:59
membantu sekali,5,2025-05-25 10:28:27
cukup membantu,5,2025-05-25 06:55:58
trimah Kaseh atas partisipasi nya,1,2025-05-24 20:59:17
sangat mudah digunakan,5,2025-05-24 15:27:40
Aplikasi ini sangat membantu,5,2025-05-23 18:34:50
"sangat membantu sekali utk mengetahui cuaca saat itu,jadi lebih tahu situasa kl mau bepergian🙏",5,2025-05-23 18:05:51
sebenere sangat membantu melihat cuaca tp setelah update 1 minggu (16-5-2025) yg lalu sampai skrg malah gk bs dibuka cm ngeblank hitam,3,2025-05-23 12:40:23
tolong apknya di perbaiki lagi masak setelah di upgrate saat di buka gambarnya eror kotak kotak berkedip sebenarnya apknya bagus cuma ya itu setelah di upgrate malah eror tolong di perbaiki lagi,4,2025-05-23 12:31:59
bagus,5,2025-05-23 08:04:07
"bagus sih,sayangnya aplikasi GK bisa dibuka dan notifikasi masuk bbrp menit setelah gempa .jd brasa was2 klo kejadian ditempat kita tinggal karna lama updatenya ,dibuka GK bisa ngblank",3,2025-05-23 03:21:03
Informasinya cepat tersampaikan dengan adanya notifikasi ini,5,2025-05-23 03:06:58
aplikasinya gak bisa dibuka mas,1,2025-05-22 22:18:58
Saya suka aplikasi ini 😊,5,2025-05-22 19:53:00
abis di update malah radar nya ga bs dibuka. gmn sih?,4,2025-05-22 13:41:50
bagus tapi gak falit masih bagus apps lainya,3,2025-05-21 22:12:12
sangat membantu,3,2025-05-21 20:53:40
mantap,5,2025-05-21 20:19:02
membantu dalam perjalanan,5,2025-05-21 19:53:12
BMKG emang top sangat membantu untuk keselamatan masyarakat luas umumnya seluruh Indonesia trimakasih BMKG semoga yang kerja sehat semuanya,5,2025-05-21 16:25:25
sangat cocok untuk bagi nelayan,5,2025-05-21 14:57:59
sekarang jarang titik gempa diukur dari gunung sahari buian dari titik kita berada,3,2025-05-21 04:07:18
sangat membantu. semoga kedepan lebih baik lagi 👍,5,2025-05-20 19:19:17
oke lah,5,2025-05-20 16:12:11
"bagus aplikasi nya, tapi sayangnya saat buka apknya lokasinya berbeda dengan tempat tinggal saya. lokasi di bekasi tapi yang di tertera di apk di jakarta, udh diganti tetap aja tidak bisa pdhl sudah menyalakan GPS di hp😮‍💨",1,2025-05-20 13:49:13
sangat baik,5,2025-05-20 05:18:24
BMKG hebat,5,2025-05-19 23:24:20
saya melihat suhunya desa setempat,5,2025-05-19 22:04:02
good,5,2025-05-19 21:56:27
mantap,5,2025-05-19 21:18:22
"sangat berguna bagi saya dalam kegiatan pertanian, terimakasih",5,2025-05-19 19:39:31
mantap Kakak,5,2025-05-19 16:57:24
mantap,5,2025-05-19 15:16:33
apk nya minta update terus... ngabisin kuota aj🤦🏻🤦🏻🤦🏻,1,2025-05-19 15:08:50
"lokasi nya tdk bisa diperbarui...walaupun disetting tetap aja gk berubah dari ""Gunung Sahari Selatan"" TOLONG DiPerbaiki!!!!!!",3,2025-05-19 14:25:08
"prakiraan cuacanya lebih baik dari prakiraan cuaca bawaan dari hp,dan untuk tampilan radar aeannya lebih baik lagi",3,2025-05-19 14:19:22
infonya up-to-date,5,2025-05-19 13:42:38
terima kasih,5,2025-05-19 13:22:27
sangat membantu,5,2025-05-19 11:59:10
Aplikasi sangat membantu.untuk mempercepat berita apa lagi tentang gempa.pokoknya saya salut Aplikasih in sangat mendukung.,5,2025-05-19 10:51:55
suka informasi,4,2025-05-19 09:11:00
terimakasih atas perbaikannya,5,2025-05-19 09:07:19
keren,5,2025-05-18 23:41:30
Perkiraan Cuaca oke banget,5,2025-05-18 23:17:09
setelah diperbaharui malah tidak bisa di buka,3,2025-05-18 19:00:11
puas,5,2025-05-18 18:22:39
Infonya sering tidak sesuai. Prediksi tidak akurat.,5,2025-05-18 13:15:18
semonggah bermanfaaat dan berfungsi dengan tepat waktuk sebelum kejadian terjadi.,3,2025-05-18 10:04:53
sangat bagus untuk kami bisa melihat daerah mana yang sedang di landa gempa.,5,2025-05-18 09:05:31
sangat membatu informasi cuaca,5,2025-05-18 06:35:56
Valid.. kerennn....,5,2025-05-17 22:14:37
banyak bug,1,2025-05-17 15:59:30
mantap,5,2025-05-17 07:43:56
"Lokasi tidak bisa diubah ke lokasi terkini selalu muncul di Gunung Sahari Selatan, EWS Gunung Sahari Selatan buat apa orang kita di Daerah.",1,2025-05-17 06:22:24
🦥,5,2025-05-17 01:20:28
perkembangan cuaca dan pantau kebencanaan,5,2025-05-16 22:04:16
apl buat petani jos pkoknya,5,2025-05-16 21:26:27
"Sayang gak ada widgets-nya, padahal penting banget untuk menampilkan info cuaca tanpa harus buka aplikasi setiap saat",3,2025-05-16 15:07:44
Kenapa info kualitas udara di wilayah NTT tida ada yah?.,3,2025-05-16 11:26:13
oke bos,5,2025-05-15 18:50:22
setelah di update malah g bisa di buka,3,2025-05-15 13:48:15
bagusss,5,2025-05-15 12:06:53
mantap,5,2025-05-15 09:11:11
Aplikasi yg.sangat membantu saya sebagai Lansia untuk mengantisipasi buat Kesehatan harian saya...Terimakasih.🤝👃👍...,5,2025-05-14 22:33:01
