Komentar,Bintang,Tanggal,clean_text,Emosi
kerenn....,5,2025-09-26 22:23:48,kerenn,bahagia
"Lambat banget sekarang Pemberitahuan gempa nya , semakin jelek aplikasinya",1,2025-09-26 21:46:21,lambat banget sekarang pemberitahuan gempa nya semakin jelek aplikasinya,sedih
tala lagi sakit,5,2025-09-26 21:04:11,tala lagi sakit,sedih
mohot tambahkan mode gelap,3,2025-09-26 20:51:10,mohot tambahkan mode gelap,sedih
kenapa tidak bisa diperbarui terima kasih,4,2025-09-26 19:57:05,kenapa tidak bisa diperbarui terima kasih,bahagia
aplikasi ini sangat bermanfaat buat yang belum tau berita bencana,5,2025-09-26 16:48:51,aplikasi ini sangat bermanfaat buat yang belum tau berita bencana,takut
aplikasi gak jelas buang duit rakyat,1,2025-09-25 17:29:02,aplikasi gak jelas buang duit rakyat,sedih
"Kontribusi untuk cuaca tidak berguna. musalnya: Sudah diusulkan bahwa cuaca di lokasi Sukabakti, Curug, Tangerang, hujan lebat. tetapi di aplikasi tetap tertera BERAWAN. Jadi, untuk apa diminta ikut serta berkontribusi untuk cuaca jika aplikasi tidak diupdate?",3,2025-09-25 13:36:36,kontribusi untuk cuaca tidak berguna musalnya sudah diusulkan bahwa cuaca di lokasi sukabakti curug tangerang hujan lebat tetapi di aplikasi tetap tertera berawan jadi untuk apa diminta ikut serta berkontribusi untuk cuaca jika aplikasi tidak diupdate,sedih
"Membantu Terutama Petani Penggarap Tembakau Untuk Berusaha Menghindari Adanya Kemungkinan Hujan Ringan Di musim Tembakau dan Waktu Menjemur Tembakau Rajangan di wilayah kami di musim bulan Agustus, September, Oktober ini juga saat musim hujan tiba untuk petani siap menanam palawija...dll Semoga Tim pengamat BMKG senantiasa di berikan kesehatan dan sukses selalu di bidangnya",5,2025-09-24 23:59:01,membantu terutama petani penggarap tembakau untuk berusaha menghindari adanya kemungkinan hujan ringan di musim tembakau dan waktu menjemur tembakau rajangan di wilayah kami di musim bulan agustus september oktober ini juga saat musim hujan tiba untuk petani siap menanam palawija dll semoga tim pengamat bmkg senantiasa di berikan kesehatan dan sukses selalu di bidangnya,marah
"sebenernya sih bagus ya, cuma tambahin dong peringatan dini gempa kek jepang biar bisa antisipasi",3,2025-09-22 22:48:45,sebenernya sih bagus ya cuma tambahin dong peringatan dini gempa kek jepang biar bisa antisipasi,bahagia
kami di papua tp knp waktunya pake WIB. kan membingungkan.. tdk bsa atur zona waktu. tlong developer diperbaiki. 🙏,2,2025-09-22 17:18:19,kami di papua tp knp waktunya pake wib kan membingungkan tdk bsa atur zona waktu tlong developer diperbaiki,marah
"GPS/lokasi perangkat HP android tidak bisa disetting sesuai lokasi pemakai, beda jaraknya sampe 73 km dr perangkat. pdhal google GPS berjalan baik dan normal seduai lokasi perangkat.",3,2025-09-21 21:40:22,gps lokasi perangkat hp android tidak bisa disetting sesuai lokasi pemakai beda jaraknya sampe 73 km dr perangkat pdhal google gps berjalan baik dan normal seduai lokasi perangkat,bahagia
Tanjung Jabung Barat Jambi Tungkal Harapan,3,2025-09-20 05:24:59,tanjung jabung barat jambi tungkal harapan,bahagia
sering banget kalau habis gempa mau lihat info titik gempa apk eror tolong diperbaiki,3,2025-09-19 23:56:28,sering banget kalau habis gempa mau lihat info titik gempa apk eror tolong diperbaiki,bahagia
"tidak akurat, butut",5,2025-09-19 23:13:52,tidak akurat butut,takut
oke👍,5,2025-09-19 21:20:00,oke,bahagia
aplikasi sampah pegawainya bayarane Tah gede tapi mending dukun....nglomboni udan ora ya udan jere terang ya udan gede,1,2025-09-19 20:56:20,aplikasi sampah pegawainya bayarane tah gede tapi mending dukun nglomboni udan ora ya udan jere terang ya udan gede,takut
aplikasinya bagus tapi diharapkan untuk kualitas udara bisa disesuaikan dengan lokasi kita,4,2025-09-19 16:47:56,aplikasinya bagus tapi diharapkan untuk kualitas udara bisa disesuaikan dengan lokasi kita,bahagia
akurat,5,2025-09-18 06:58:24,akurat,marah
radar sering macet knp !?,3,2025-09-16 13:48:56,radar sering macet knp,sedih
"Fitur radar gak berfungsi, apa anggaran lagi dikorupsi? Mikirlah kalian untuk orang lapangan perlu radar biar tau mau ujan atw nggak. Apa agama kalian gak ngajarin korupsi itu haram?? Atau masi beragama kalian??",3,2025-09-16 07:25:49,fitur radar gak berfungsi apa anggaran lagi dikorupsi mikirlah kalian untuk orang lapangan perlu radar biar tau mau ujan atw nggak apa agama kalian gak ngajarin korupsi itu haram atau masi beragama kalian,takut
"Mohon bisa dijadikan widget pada smartphone , ini sudah sangat membantu",4,2025-09-14 22:07:55,mohon bisa dijadikan widget pada smartphone ini sudah sangat membantu,bahagia
apknya terlalu ribet... prediksi hujannya juga tidak ada...,1,2025-09-14 06:02:12,apknya terlalu ribet prediksi hujannya juga tidak ada,marah
sayangnya tidak widget untuk layar depan,3,2025-09-13 07:32:08,sayangnya tidak widget untuk layar depan,sedih
Cuaca Terbaik 😇,5,2025-09-13 04:42:54,cuaca terbaik,bahagia
mantap,5,2025-09-13 03:02:37,mantap,bahagia
kurang fokus / detail,5,2025-09-13 01:56:35,kurang fokus detail,sedih
semoga BMKG LEBIH MAJU,5,2025-09-12 23:39:43,semoga bmkg lebih maju,marah
"nyesel update aplikasi BMKG, udah setting lokasi alamat saya malah terus-terusan kembali ke awal (Gunung Sahari Selatan) lagi. Tau gitu dari awal jangan di update",3,2025-09-12 14:35:26,nyesel update aplikasi bmkg udah setting lokasi alamat saya malah terus terusan kembali ke awal gunung sahari selatan lagi tau gitu dari awal jangan di update,sedih
tolong lah adain fitur widget biar tau kondisi cuaca secara langsung,5,2025-09-12 12:34:32,tolong lah adain fitur widget biar tau kondisi cuaca secara langsung,bahagia
baik sekali,5,2025-09-11 22:25:50,baik sekali,bahagia
apps bagus sayang pemberitauan telat....,2,2025-09-11 12:36:02,apps bagus sayang pemberitauan telat,sedih
jadi tenang kalo ada becana alam jadi penyelat semua jadi aman,5,2025-09-09 20:07:36,jadi tenang kalo ada becana alam jadi penyelat semua jadi aman,bahagia
"Buatin widget cuaca yang bisa kasih tau info cuaca, g3mpa, kualitas udara, kelembapan dll secara realtime",5,2025-09-09 18:09:44,buatin widget cuaca yang bisa kasih tau info cuaca g3mpa kualitas udara kelembapan dll secara realtime,bahagia
"Tidak percaya dengan prakiraan cuaca, tidak membuktikan asli dengan situasi dan kondisi real terkini ditempat saya. Setelah saya riset prakiraan hanyala tipuan belaka.",1,2025-09-09 15:23:31,tidak percaya dengan prakiraan cuaca tidak membuktikan asli dengan situasi dan kondisi real terkini ditempat saya setelah saya riset prakiraan hanyala tipuan belaka,takut
Berguna sekali.,5,2025-09-09 12:15:29,berguna sekali,bahagia
kurang akurat,2,2025-09-09 06:36:10,kurang akurat,sedih
good,5,2025-09-08 14:42:53,good,bahagia
sangat akurat,5,2025-09-07 14:14:42,sangat akurat,bahagia
"prakiraan cuacanya update doong, update. Prediksi berawan, tau tau hujan lebat",2,2025-09-06 20:44:05,prakiraan cuacanya update doong update prediksi berawan tau tau hujan lebat,marah
"Gak ada akurat2nya ini aplikasi, kadang malu juga Makai aplikasi nihh, namanya aja yg mantab tapi hasilnya parah. berbenah lah lagi secepatnya.. seperti aplikasi tak bertuan😓",5,2025-09-06 19:01:12,gak ada akurat2nya ini aplikasi kadang malu juga makai aplikasi nihh namanya aja yg mantab tapi hasilnya parah berbenah lah lagi secepatnya seperti aplikasi tak bertuan,takut
SAMSUNG GALAXY j4,1,2025-09-04 18:11:52,samsung galaxy j4,marah
Sangat canggih,5,2025-09-04 16:50:11,sangat canggih,marah
"Dapat informasi gempa bumi cepat dan akurat, mantab.",5,2025-09-04 09:50:08,dapat informasi gempa bumi cepat dan akurat mantab,bahagia
"Tolong dong berita gempa itu di update secepatnya, Di google itu gempa udah ada updatenya tapi di bmkg nggak ada di update jg.",4,2025-09-04 08:27:43,tolong dong berita gempa itu di update secepatnya di google itu gempa udah ada updatenya tapi di bmkg nggak ada di update jg,takut
04 September 2025 Barusan ada gempa beberapa menit yg lalu tapi dari BMKG belum ada penjelasannya.,3,2025-09-04 08:27:02,04 september 2025 barusan ada gempa beberapa menit yg lalu tapi dari bmkg belum ada penjelasannya,marah
gak realtime ngasih tau info gempa nya,2,2025-09-03 07:08:46,gak realtime ngasih tau info gempa nya,takut
bagus aplikasinya,5,2025-09-03 05:33:58,bagus aplikasinya,marah
ok,1,2025-09-03 04:26:45,ok,bahagia
"untuk notifikasi klo ada gempa kenapa lambat bgt,. semisal ada gempa jam 8 notif y baru muncul sejam setelah nya... parah bgt..",1,2025-09-02 22:40:37,untuk notifikasi klo ada gempa kenapa lambat bgt semisal ada gempa jam 8 notif y baru muncul sejam setelah nya parah bgt,takut
mantap,4,2025-08-31 18:26:01,mantap,bahagia
"tidak akurat katanya cerah berawan gak taunya hujan bikin rugi hasil panen akhirnya banyak yg rusak,",1,2025-08-28 00:06:36,tidak akurat katanya cerah berawan gak taunya hujan bikin rugi hasil panen akhirnya banyak yg rusak,takut
kesini cuma karena ada vtuber shinna di akun tiktok stasiun Geofisika Gowa,5,2025-08-25 16:07:33,kesini cuma karena ada vtuber shinna di akun tiktok stasiun geofisika gowa,marah
"Usahakan kalau bikin aplikasi yang bisa di gunakan di hp ram besar dan ram kecil,usahakan aplikasi bisa di gunakan di andrid versi 4kitkat.sekian dan terimakasih.",5,2025-08-25 06:14:43,usahakan kalau bikin aplikasi yang bisa di gunakan di hp ram besar dan ram kecil usahakan aplikasi bisa di gunakan di andrid versi 4kitkat sekian dan terimakasih,marah
"ga akurat untuk cuacanya, bahkan sangat sangat ga akurat, diprediksi hujan malah terang, terang malah hujan. klo ada hujan prediksi langsung dirubah, smua orang jga bsa klo seperti itu mh.",1,2025-08-24 08:45:59,ga akurat untuk cuacanya bahkan sangat sangat ga akurat diprediksi hujan malah terang terang malah hujan klo ada hujan prediksi langsung dirubah smua orang jga bsa klo seperti itu mh,takut
"lokasi cuaca tidak bisa di atur, selalu hanya di gunung sahari",3,2025-08-23 21:11:40,lokasi cuaca tidak bisa di atur selalu hanya di gunung sahari,sedih
sangat membantu,5,2025-08-23 16:26:07,sangat membantu,bahagia
Tanggal 18 Agustus 2025 pukul 06.39 aplikasi BMKG error. Aplikasi INFO BMKG Tidak memiliki informasi tentang Vulkanologi. Informasi Vulkanologi itu kan ranahnya BMKG. Kedepannya info BMKG menambahkan Info aktivitas Vulkanik supaya pendaki atau orang yang beraktifitas dekat dengan vulkano tahu indikasi bahaya atau tidak nya.,1,2025-08-23 15:14:46,tanggal 18 agustus 2025 pukul 06 39 aplikasi bmkg error aplikasi info bmkg tidak memiliki informasi tentang vulkanologi informasi vulkanologi itu kan ranahnya bmkg kedepannya info bmkg menambahkan info aktivitas vulkanik supaya pendaki atau orang yang beraktifitas dekat dengan vulkano tahu indikasi bahaya atau tidak nya,marah
"sangat bermanfaat,",5,2025-08-23 10:45:24,sangat bermanfaat,bahagia
"aplikasi udah Bagus, tapi saya ingin request ada mode gelap di aplikasi ini terimakasih 🙏🏻",5,2025-08-22 22:28:24,aplikasi udah bagus tapi saya ingin request ada mode gelap di aplikasi ini terimakasih,sedih
Halo! Bisakah saya mendapatkan info selengkapnya tentang ini?,5,2025-08-22 19:49:36,halo bisakah saya mendapatkan info selengkapnya tentang ini,bahagia
aplikasi buatan pemerintah yang paling worth it 😍 semangat terus buat developernya 🫰,5,2025-08-22 15:04:57,aplikasi buatan pemerintah yang paling worth it semangat terus buat developernya,bahagia
"gabisa menampilkan lokasi terkini yg akurat, serta pemberitahuan bencana nya telat terus.",1,2025-08-21 21:30:09,gabisa menampilkan lokasi terkini yg akurat serta pemberitahuan bencana nya telat terus,takut
"Radar cuaca mati,min!!",2,2025-08-21 16:19:24,radar cuaca mati min,sedih
Sangat Akurat dan Cepat Dalam Memberikan informasi tentang Cuaca.,5,2025-08-21 11:48:04,sangat akurat dan cepat dalam memberikan informasi tentang cuaca,marah
udah jauh jauh lebih baik tapi sekarang ada bug uv index tidak bisa ditampilkan dan saya harap bisa zoom in gambar peta peringatan cuacanya. karena terlalu kecil untuk dilihat. + fitur radarnya ga berfungsi,4,2025-08-21 11:34:38,udah jauh jauh lebih baik tapi sekarang ada bug uv index tidak bisa ditampilkan dan saya harap bisa zoom in gambar peta peringatan cuacanya karena terlalu kecil untuk dilihat fitur radarnya ga berfungsi,marah
"biasanya pemberitahuannya lambat banget biasa jga gak ada pdhl jelas"" di sini ada gempa",1,2025-08-21 10:34:10,biasanya pemberitahuannya lambat banget biasa jga gak ada pdhl jelas di sini ada gempa,takut
aplikasinya gabisa dibuka👎,1,2025-08-21 06:29:16,aplikasinya gabisa dibuka,sedih
gempa di jakarta notifikasi 1 jam setelah kejadian..... bagaimana ini,1,2025-08-21 06:10:40,gempa di jakarta notifikasi 1 jam setelah kejadian bagaimana ini,takut
kenapa punya ku jadi hitam doang. ga nongol aplikasinya?,1,2025-08-20 23:25:22,kenapa punya ku jadi hitam doang ga nongol aplikasinya,sedih
knpa hbis di update apknya jdi item doang layarnya kek loding mulu mana lama😕,3,2025-08-20 23:23:47,knpa hbis di update apknya jdi item doang layarnya kek loding mulu mana lama,marah
"Masih kurang akurat, gempa udh terjadi, 30 menit kemudian notifnya baru muncul",2,2025-08-20 23:02:06,masih kurang akurat gempa udh terjadi 30 menit kemudian notifnya baru muncul,marah
BMKG Sangat berguna untuk Impo gempa bumi,5,2025-08-20 20:59:14,bmkg sangat berguna untuk impo gempa bumi,takut
bagus,5,2025-08-20 20:52:51,bagus,bahagia
"tambahkan opsi pengaturan utk notifikasi. cthnya sprti apakah notifikasi utk cuaca / gempa, lalu bisa di filter jarak dari titik, minimal amplitudo, dan lainnya. nah nanti advance nya notifikasi berbentuk voice text to speech.nggak usah pakai fitur voice search segala, pasti yg pakai dikit.",3,2025-08-20 20:49:43,tambahkan opsi pengaturan utk notifikasi cthnya sprti apakah notifikasi utk cuaca gempa lalu bisa di filter jarak dari titik minimal amplitudo dan lainnya nah nanti advance nya notifikasi berbentuk voice text to speech nggak usah pakai fitur voice search segala pasti yg pakai dikit,bahagia
bagus sekali,5,2025-08-20 20:46:36,bagus sekali,bahagia
min bisa gak di atur tampilan terang dan gelap biar mata gak silau terimakasih 🙏,2,2025-08-20 20:40:04,min bisa gak di atur tampilan terang dan gelap biar mata gak silau terimakasih,bahagia
Sangat Bermanfaat Info Real Time,5,2025-08-20 20:38:58,sangat bermanfaat info real time,bahagia
bagussss,5,2025-08-20 20:38:46,bagussss,bahagia
lambat,2,2025-08-20 20:37:13,lambat,sedih
"aplikasi sama kejadian beda jauh. selisih sekitar 30,menit.",1,2025-08-20 20:28:38,aplikasi sama kejadian beda jauh selisih sekitar 30 menit,sedih
"sekarang aplikasinya kurang uptudate, ada gempa / hujan setelah 10menit lebih baru di infoin 🙈🙈🙈 kurang akurat",2,2025-08-20 20:19:42,sekarang aplikasinya kurang uptudate ada gempa hujan setelah 10menit lebih baru di infoin kurang akurat,marah
mengapa saat terjadi gempa hari ini tidak ada peringatan.,5,2025-08-20 20:17:51,mengapa saat terjadi gempa hari ini tidak ada peringatan,sedih
ga bisa dibuka SDH install,2,2025-08-20 20:17:37,ga bisa dibuka sdh install,marah
sebenarnya aplikasi ini bagus dalam memberikan informasi bencana alam mau pun kondisi alam hanya ketepatannya perlu diperbaiki lagi termasuk navigasi dan lokasi,5,2025-08-20 20:14:34,sebenarnya aplikasi ini bagus dalam memberikan informasi bencana alam mau pun kondisi alam hanya ketepatannya perlu diperbaiki lagi termasuk navigasi dan lokasi,bahagia
notifnya lama. ud rame beredar gempa bRu stngah jam kdang Berjam2 Bru muncul tlong perbaiki sistemnya kaya djepang notif cepet KL ad apa²,3,2025-08-20 20:12:25,notifnya lama ud rame beredar gempa bru stngah jam kdang berjam2 bru muncul tlong perbaiki sistemnya kaya djepang notif cepet kl ad apa²,takut
lemoott,1,2025-08-20 20:10:47,lemoott,sedih
"apaan aplikasi g ngerti deh in, ad gempa tp notifikasi g ad",1,2025-08-20 20:10:47,apaan aplikasi g ngerti deh in ad gempa tp notifikasi g ad,sedih
sangat tepat,5,2025-08-20 20:09:47,sangat tepat,bahagia
"tolong kalau ada kejadian gempa kabarin secepatnya ini udah setengah jam gempa Bekasi belum ada alarem kalau gempa potensi tsunami bisa mati di seret air,,tolong",1,2025-08-20 20:09:43,tolong kalau ada kejadian gempa kabarin secepatnya ini udah setengah jam gempa bekasi belum ada alarem kalau gempa potensi tsunami bisa mati di seret air tolong,takut
"informasi mengenai gempa sangat telat, sudah 4 menit sejak gempa belum ada informasi apapun. sangat lambat. harus buka google dulu baru dapat info",1,2025-08-20 20:08:13,informasi mengenai gempa sangat telat sudah 4 menit sejak gempa belum ada informasi apapun sangat lambat harus buka google dulu baru dapat info,takut
Gempa jam 20.00.Tgl.20 Agustus 2025.Lokasi Bekasi kedalaman 10 km.APP TIDAK BERGUNA.WAJIB DI UNINSTAL DAN DI HAPUS DARI PLAY STORE !!!,1,2025-08-20 20:08:09,gempa jam 20 00 tgl 20 agustus 2025 lokasi bekasi kedalaman 10 km app tidak berguna wajib di uninstal dan di hapus dari play store,marah
malu lah punya negara kok g akurat,1,2025-08-20 20:07:00,malu lah punya negara kok g akurat,sedih
"kenapa jadi tidak bisa di buka ya, layar nya menjadi hitam",4,2025-08-20 20:06:05,kenapa jadi tidak bisa di buka ya layar nya menjadi hitam,bahagia
barusan ada gempa. apk ini tidak ngasih info ap2.,1,2025-08-20 20:05:26,barusan ada gempa apk ini tidak ngasih info ap2,marah
"gak cepat update kejadian,gak ada alarm pencegahan dini",1,2025-08-20 20:04:25,gak cepat update kejadian gak ada alarm pencegahan dini,takut
"heran kok gabisa set lokasi secara akurat, mana melenceng jauh",1,2025-08-20 20:04:08,heran kok gabisa set lokasi secara akurat mana melenceng jauh,sedih
kurang real-time.. 5- 10 menit baru ad notif,1,2025-08-20 20:03:15,kurang real time 5 10 menit baru ad notif,sedih
telat ga update,1,2025-08-20 20:00:50,telat ga update,sedih
ga akurat,1,2025-08-20 19:59:26,ga akurat,sedih
"usahakan kalau bikin aplikasi ukuran mb jangan besar-besar,usahakan bisa di gunakan di hp ram kecil,usahakan jangan nglek,lemot,usahakan bisa di gunakan di android versi 5 lolipop dan versi 4 kitkat.",5,2025-08-20 17:50:56,usahakan kalau bikin aplikasi ukuran mb jangan besar besar usahakan bisa di gunakan di hp ram kecil usahakan jangan nglek lemot usahakan bisa di gunakan di android versi 5 lolipop dan versi 4 kitkat,bahagia
